epoch,accuracy,loss,val_accuracy,val_loss
0,0.3706061542034149,1.3260574340820312,0.5100864768028259,1.248294711112976
1,0.6482147574424744,0.9771259427070618,0.6628242135047913,0.9104697704315186
2,0.8001660704612732,0.5829715728759766,0.6916426420211792,0.8054516911506653
3,0.8530307412147522,0.41514089703559875,0.7204610705375671,0.7900606989860535
4,0.8826460242271423,0.3250567317008972,0.6858789920806885,0.8124223351478577
5,0.9047882556915283,0.2715103030204773,0.7089337110519409,0.8461704850196838
6,0.9310821890830994,0.2210230827331543,0.6685879230499268,0.9176215529441833
7,0.9415997862815857,0.18225663900375366,0.6858789920806885,0.9934192895889282
8,0.952117383480072,0.16045136749744415,0.6829971075057983,1.0581969022750854
9,0.9590368270874023,0.14149363338947296,0.7002881765365601,1.0967472791671753
10,0.9601439237594604,0.12600700557231903,0.6887608170509338,1.1658645868301392
11,0.9654027223587036,0.11248503625392914,0.6829971075057983,1.2205805778503418
12,0.9692776203155518,0.10385061800479889,0.680115282535553,1.280199408531189
13,0.971491813659668,0.09835928678512573,0.6772334575653076,1.3083009719848633
14,0.9712150692939758,0.09104001522064209,0.6657060384750366,1.3574930429458618
15,0.9709382653236389,0.09465060383081436,0.6628242135047913,1.3921436071395874
16,0.9759202599525452,0.08090594410896301,0.651296854019165,1.4615607261657715
17,0.9745364189147949,0.08107093721628189,0.6714697480201721,1.4347496032714844
18,0.9761970639228821,0.07673900574445724,0.6599423885345459,1.4380632638931274
19,0.9786880612373352,0.06943783909082413,0.6657060384750366,1.5075076818466187
20,0.9767506122589111,0.07215839624404907,0.6714697480201721,1.5379332304000854
21,0.9778577089309692,0.06795637309551239,0.6599423885345459,1.5548616647720337
22,0.9792416095733643,0.06406192481517792,0.6541786789894104,1.580726981163025
23,0.9795184135437012,0.06378239393234253,0.6599423885345459,1.5787017345428467
24,0.9789648652076721,0.058909475803375244,0.6455331444740295,1.6888952255249023
